,Investigator,Number of Studies
716,giacomo zanus,4
717,agnes salamon,4
718,marta gonzalez cordero,4
719,robert m. langdon,4
720,alessandro padovani,4
721,julien grenier,4
722,alex guevara,4
723,mauro gargiulo,4
724,nicola vianelli,4
725,francesco albano,4
726,simone saibeni,4
727,paolo barone,4
728,anne-sophie defachelles,4
729,eran goldin,4
730,carlo lavalle,4
731,luigi t corvaglia,4
732,matteo lambertini,4
733,alexia bertuzzi,4
734,marcelo gama de abreu,4
735,alessandro gozzetti,4
736,nandita jones,4
737,david dibenedetto,4
738,alberto bazzocchi,4
739,elena giovanna bignami,4
740,robin jones,4
741,ileana elias,4
742,richard finkel,4
743,anna merli,4
744,sonja heeren,4
745,andrea minervini,4
746,brian c. boulmay,4
747,tiziana bove,4
748,zsolt tulassay,4
749,nashat gabrail,4
750,massimo offidani,4
751,nicolas cloarec,4
752,han phan,4
753,licia grazzi,4
754,giancarlo facchini,4
755,scott e. delacroix,4
756,viralkumar bhanderi,4
757,amanda psyrri,4
758,jeannie huang,4
759,giampaolo merlini,4
760,martin gutierrez,4
761,francesco traina,4
762,peiman nazerian,4
763,patrizia chiusolo,4
764,iwona lugowska,4
765,giuseppe foti,4
766,alessandra solari,4
767,jun li,4
768,alessandro ferrero,4
769,andrea botticelli,4
770,gianluca garulli,4
771,lucio crinò,4
772,alberto papi,4
773,ziad younes,4
774,esther oliva,4
775,sara pusceddu,4
776,alessio g. morganti,4
777,robert klamroth,4
778,guohui cui,4
779,paolo bidoli,4
780,leonardo de luca,4
781,eugenio mercuri,4
782,giuseppe sanguineti,4
783,riccardo bonadonna,4
784,elisabetta munzone,4
785,robert koch,4
786,charles shideman,4
787,stephen l. graziano,4
788,rodica morariu-zamfir,4
789,michela rondoni,4
790,caterina mariotti,4
791,francesca re,4
792,giuseppe giaccone,4
793,franz schaefer,4
794,fabio mosca,4
795,keun seok lee,4
796,vinay k. gudena,4
797,enrico cortesi,4
798,luisa verga,4
799,paolo ghia,4
800,christine bodemer,4
801,jonathan s. treisman,4
802,martin andreas,4
803,sumit sawhney,4
804,riccardo soffietti,4
805,won seog kim,4
806,mara cananzi,4
807,arcangelo prete,4
808,oriol roca,4
809,ashok ramalingam,4
810,marina chiara garassino,4
811,giuseppe sica,4
812,vinai gondi,4
813,joseph kannarkatt,4
814,simon deshayes,4
815,jorge paoli-bruno,4
816,carmen fava,4
817,giovanni palladini,4
818,marco zecca,4
819,paolo lionetti,4
820,rajeev kumar,4
821,nitya alluri,4
822,triana lobaton ortega,4
823,vittorio montefusco,4
824,shankara nellikunja,4
825,maria nachury,4
826,lyudmila a. bazhenova,4
827,gina jones,4
828,ronit gurion,4
829,dimitrios mavroudis,4
830,roberto agresti,4
831,andrea zini,4
832,carlo buzio,4
833,john c. mccann,4
834,francesco saia,4
835,ching-tien peng,4
836,alessia pellerino,4
837,nicolas van mieghem,4
838,apar k. ganti,4
839,marcy yonker,4
840,giuseppe boriani,4
841,massimo costantini,4
842,manuel lara lara,4
843,christophe leclercq,4
844,eros di bona,4
845,luis paz-ares,4
846,grant r. seeger,4
847,bruno fang,4
848,adam olson,4
849,daniele porru,4
850,domenico bilancia,4
851,celeste cagnazzo,4
852,giuseppe palumbo,4
853,robert m. kyler,4
854,fabio guarracino,4
855,prafulla keshaorao shembalkar,4
856,paolo g. casali,4
857,mauro stronati,4
858,harriet b. eldredge-hindy,4
859,giuseppe lo russo,4
860,alessandro marchioni,4
861,tommaso mauri,4
862,orazio caffo,4
863,alessandro gronchi,4
864,hana safah,4
865,chad gonzales,4
866,giovanni caocci,4
867,stefano francesco crinò,4
868,mikolaj krzyzanowski,4
869,john a. pablo,4
870,jose antonio perez simon,4
871,alessandro armuzzi,4
872,ben kang,4
873,peter langmuir,4
874,olga benitez hidalgo,4
875,fabricio racca,4
876,patrizia vici,4
877,alessandra bandera,4
878,antonella poloni,4
879,alessandra mangia,4
880,seth d. cohen,4
881,matteo della porta,4
882,sarah herts,4
883,marco schiavone,4
884,sofia baka,4
885,a responsible person designated by the sponsor,4
886,angelo michele carella,4
887,belinda savage-edwards,4
888,enrico ferrazzi,4
889,giuseppe montalto,4
890,monika ummat,4
891,sara pilotto,4
892,francesc bosch albareda,4
893,roberto rordorf,4
894,alessandro m gianni,4
895,catherine paillard,4
896,sharoon qaiser,4
897,andreas reif,4
898,maria enza mitra,4
899,gaetano la manna,4
900,daniele andreani,4
901,diego ardissino,4
902,jasmin dao,4
903,nafisa d. burhani,4
904,ornella garrone,4
905,piero maria stefani,4
906,antonino spinelli,4
907,kevan jacobson,4
908,luca moscetti,4
909,rajiv aggarwal,4
910,marco picardi,4
911,marialuisa appetecchia,4
912,kore liow,4
913,martin mccabe,4
914,grazia arpino,4
915,axel le cesne,4
916,panos fidias,4
917,fabrizio ugo,4
918,hiroshi yamada,4
919,w. hamish wallace,4
920,maria luisa ferrari,4
921,antonella ferro,4
922,abdul hai mansoor,4
923,paolo andrea zucali,4
924,francesca gaia rossi,4
925,tatjana kolevska,4
926,vijay jayaprakash,4
927,maurizio soresi,4
928,mario luppi,4
929,maria pina simula,4
930,nicolas girard,4
931,domenico girelli,4
932,steven attia,4
933,ennio pisanò,4
934,danielle horn,4
935,junmin li,4
936,elena rossi,4
937,debashish chowdhury,4
938,fabio manfredini,4
939,elena garralda cabanas,4
940,luca coccoli,4
941,cameron b. harkness,4
942,giuseppe fornarini,4
943,gaku yamanaka,4
944,olivier rascol,4
945,antonella fioravanti,4
946,christina henson,4
947,livio blasi,4
948,tamara stampalija,4
949,michael e shy,4
950,elena collovà,4
951,abdul mazin,4
952,hee kyung ahn,4
953,roberto cilia,4
954,marco tuccori,4
955,renato seracchioli,4
956,john day,4
957,xavier roblin,4
958,raul pellini,4
959,andreas sturm,4
960,paola queirolo,4
961,charles h. nash,4
962,haythem y. ali,4
963,monia marchetti,4
964,umberto tirelli,4
965,sofia verstraete,4
966,carola boccomini,4
967,roberto cosentini,4
968,adriano lazzarin,4
969,collin d. driscoll,4
